date,visitors,checkouts
2025-01-01,187.0,322
2025-01-02,182.0,448
2025-01-03,219.0,331
2025-01-04,262.0,647
2025-01-05,246.0,379
2025-01-06,156.0,373
2025-01-07,203.0,411
2025-01-08,191.0,476
2025-01-09,177.0,278
2025-01-10,218.0,447
2025-01-11,233.0,575
2025-01-12,243.0,491
2025-01-13,163.0,347
2025-01-14,151.0,331
2025-01-15,154.0,300
2025-01-16,176.0,374
2025-01-17,194.0,404
2025-01-18,244.0,585
2025-01-19,236.0,364
2025-01-20,138.0,245
2025-01-21,201.0,492
2025-01-22,176.0,420
2025-01-23,186.0,363
2025-01-24,188.0,398
2025-01-25,231.0,410
2025-01-26,251.0,423
2025-01-27,142.0,278
2025-01-28,185.0,342
2025-01-29,170.0,354
2025-01-30,180.0,283
2025-01-31,200.0,494
2025-02-01,267.0,663
2025-02-02,249.0,547
2025-02-03,144.0,293
2025-02-04,192.0,347
2025-02-05,161.0,372
2025-02-06,188.0,410
2025-02-07,180.0,299
2025-02-08,220.0,530
2025-02-09,252.0,585
2025-02-10,171.0,418
2025-02-11,182.0,405
2025-02-12,178.0,376
2025-02-13,180.0,345
2025-02-14,187.0,454
2025-02-15,229.0,541
2025-02-16,243.0,375
2025-02-17,175.0,267
2025-02-18,185.0,347
2025-02-19,153.0,353
2025-02-20,189.0,470
2025-02-21,204.0,336
2025-02-22,229.0,479
2025-02-23,259.0,487
2025-02-24,175.0,432
2025-02-25,193.0,452
2025-02-26,167.0,390
2025-02-27,180.0,354
2025-02-28,214.0,409
2025-03-01,214.0,379
2025-03-02,202.0,314
2025-03-03,117.0,276
2025-03-04,123.0,284
2025-03-05,122.0,304
2025-03-06,157.0,391
2025-03-07,190.0,390
2025-03-08,198.0,449
2025-03-09,225.0,550
2025-03-10,125.0,293
2025-03-11,130.0,227
2025-03-12,145.0,282
2025-03-13,168.0,273
2025-03-14,169.0,414
2025-03-15,223.0,469
2025-03-16,170.0,293
2025-03-17,132.0,286
2025-03-18,141.0,298
2025-03-19,135.0,250
2025-03-20,146.0,235
2025-03-21,140.0,304
2025-03-22,196.0,395
2025-03-23,215.0,488
2025-03-24,142.0,286
2025-03-25,132.0,310
2025-03-26,127.0,260
2025-03-27,137.0,282
2025-03-28,183.0,434
2025-03-29,204.0,388
2025-03-30,202.0,330
2025-03-31,127.0,194
2025-04-01,141.0,317
2025-04-02,154.0,326
2025-04-03,134.0,295
2025-04-04,165.0,282
2025-04-05,194.0,317
2025-04-06,188.0,284
2025-04-07,124.0,229
2025-04-08,143.0,298
2025-04-09,140.0,264
2025-04-10,141.0,273
2025-04-11,148.0,355
2025-04-12,193.0,356
2025-04-13,204.0,410
2025-04-14,107.0,244
2025-04-15,137.0,259
2025-04-16,146.0,309
2025-04-17,173.0,408
2025-04-18,172.0,421
2025-04-19,203.0,334
2025-04-20,208.0,504
2025-04-21,91.0,181
2025-04-22,139.0,244
2025-04-23,140.0,274
2025-04-24,181.0,448
2025-04-25,167.0,332
2025-04-26,204.0,373
2025-04-27,209.0,445
2025-04-28,102.0,177
2025-04-29,157.0,247
2025-04-30,151.0,245
2025-05-01,156.0,253
2025-05-02,156.0,257
2025-05-03,221.0,362
2025-05-04,188.0,402
2025-05-05,,215
2025-05-06,172.0,317
2025-05-07,125.0,299
2025-05-08,136.0,268
2025-05-09,171.0,370
2025-05-10,192.0,321
2025-05-11,186.0,314
2025-05-12,121.0,186
2025-05-13,124.0,206
2025-05-14,147.0,261
2025-05-15,131.0,219
2025-05-16,193.0,306
2025-05-17,188.0,304
2025-05-18,205.0,401
2025-05-19,132.0,225
2025-05-20,121.0,225
2025-05-21,143.0,286
2025-05-22,164.0,359
2025-05-23,145.0,223
2025-05-24,202.0,464
2025-05-25,213.0,453
2025-05-26,131.0,207
